Component,Version,Group,Is_Direct,License,Vulnerabilities
click,8.3.1,pypi,False,[],
colorama,0.4.6,pypi,False,['BSD License'],
grpcio,1.76.0,pypi,False,['Apache License 2.0'],
grpcio-tools,1.76.0,pypi,False,['Apache License 2.0'],
natsort,8.4.0,pypi,False,['MIT'],
numpy,2.4.2,pypi,True,[],
overrides,7.7.0,pypi,False,"['Apache License, Version 2.0']",
pandas,3.0.0,pypi,True,['BSD License'],
pip,25.0.1,pypi,False,['MIT'],
protobuf,6.33.2,pypi,False,['3-Clause BSD License'],
psutil,7.2.2,pypi,False,['BSD-3-Clause'],
python-dateutil,2.9.0.post0,pypi,False,['Dual License'],
PyYAML,6.0.3,pypi,False,['MIT'],
robotframework,7.4.1,pypi,False,['Apache License 2.0'],
robotframework-assertion-engine,3.5.0,pypi,False,[],
robotframework-browser,19.12.3,pypi,False,[],
robotframework-browser-batteries,19.12.3,pypi,True,[],
robotframework-pythonlibcore,4.5.0,pypi,False,['Apache License 2.0'],
seedir,0.5.1,pypi,False,['MIT'],
setuptools,82.0.0,pypi,False,[],
six,1.17.0,pypi,False,['MIT'],
typing_extensions,4.15.0,pypi,False,[],
tzdata,2025.3,pypi,False,['Apache-2.0'],
wrapt,2.1.1,pypi,False,[],
